R_NanoG0133	R08558
R_NanoG0294	R08935
R_NanoG0353	R03544
R_NanoG0354	R03545
R_NanoG0132	R08557
R_NanoG0183	R02611
R_NanoG0232	R04880
R_NanoG0237	R04304
R_NanoG0398	R05685
R_NanoG0439	R00754
R_NanoG0440	R00754
R_NanoG0441	R00754
R_NanoG0530	R02377
R_NanoG0688	R04533
R_NanoG0689	R04533
R_NanoG0690	R04953
R_NanoG0691	R04953
R_NanoG0692	R04536
R_NanoG0693	R04536
R_NanoG0694	R04534
R_NanoG0695	R04534
R_NanoG0696	R04964
R_NanoG0697	R04964
R_NanoG0698	R04566
R_NanoG0792	R04566
R_NanoG0793	R07763
R_NanoG0794	R07763
R_NanoG1312	R02124
R_NanoG0299	R02777
R_NanoG1157	R03325
R_NanoG1247	R02472
R_NanoG0358	R00758
R_NanoG1113	R07494
R_NanoG0254	R04203
R_NanoG0295	R01183
R_NanoG0296	R01183
R_NanoG0297	R01183
R_NanoG0509	R01481
R_NanoG0510	R01481
R_NanoG1320	R03458
R_NanoG0216	R02680
R_NanoG0443	R00746
R_NanoG1518	R01130
R_NanoG1519	R01130
R_NanoG0303	R02832
R_NanoG0503	R01759
R_NanoG0504	R01759
R_NanoG1422	R03264
R_NanoG0507	R00286
R_NanoG0149	R01163
R_NanoG0150	R03012
R_NanoG0306	R02832
R_NanoG1156	R01836
R_NanoG0201	R01872
R_NanoG0363	R07135
R_NanoG0364	R07135
R_NanoG0397	R00703
R_NanoG0372	R05692
R_NanoG0545	R00704
R_NanoG0200	R06846
R_NanoG0204	R02413
R_NanoG0595	R07140
R_NanoG0116	R01775
R_NanoG0117	R01775
R_NanoG0118	R01775
R_NanoG0352	R01361
R_NanoG1313	R08379
R_NanoG0277	R05066
R_NanoG0278	R05066
R_NanoG0632	R04743
R_NanoG0809	R01975
R_NanoG0810	R01975
R_NanoG0831	R01778
R_NanoG0832	R04748
R_NanoG0880	R04745
R_NanoG0881	R04741
R_NanoG0882	R04739
R_NanoG0883	R04737
R_NanoG0461	R01977
R_NanoG0462	R01977
R_NanoG0820	R01779
R_NanoG0821	R01779
R_NanoG0578	R00342
R_NanoG0542	R00216
R_NanoG0547	R00214
R_NanoG0585	R00267
R_NanoG0586	R00267
R_NanoG0525	R01528
R_NanoG0526	R01528
R_NanoG0522	R02736
R_NanoG0452	R01747
R_NanoG1158	R02353
R_NanoG0359	R00868
R_NanoG0537	R03080
R_NanoG0458	R00465
R_NanoG1034	R00842
R_NanoG0546	R00343
R_NanoG1708	R00343
R_NanoG0270	R04426
R_NanoG0262	R04439
R_NanoG0499	R01896
R_NanoG1035	R00842
R_NanoG0127	R01513
R_NanoG0456	R00475
R_NanoG0336	R10053
R_NanoG0343	R03184
R_NanoG0123	R01025
R_NanoG0459	R00476
R_NanoG0351	R03534
R_NanoG0607	R02161
R_NanoG1616	R00058
R_NanoG1617	R00058
R_NanoG0233	R00045
R_NanoG0234	R00031
R_NanoG0347	R00644
R_NanoG0348	R00644
R_NanoG0349	R00644
R_NanoG0219	R00009
R_NanoG1377	R00274
R_NanoG1378	R00274
R_NanoG1585	R00019
R_NanoG1395	R02467
R_NanoG1396	R02467
R_NanoG0090	R00893
R_NanoG0184	R01372
R_NanoG1349	R02521
R_NanoG0241	R02519
R_NanoG1410	R06952
R_NanoG1411	R06953
R_NanoG0220	R00678
R_NanoG1690	R07364
R_NanoG0040	R01252
R_NanoG0179	R02397
R_NanoG1394	R05320
R_NanoG1594	R05725
R_NanoG1405	R07850
R_NanoG1619	R00818
R_NanoG1281	R08203
R_NanoG1282	R08204
