#query,mnx_id,reference,xrefs,name,,reference,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00022,MNXR190172,rheaR:30671,bigg.reaction:R_r0013 ... bigg.reaction:r0013 ... biggR:R_r0013 ... biggR:r0013 ... deprecated:MNXR152919 ... deprecated:MNXR190173 ... kegg.reaction:R00022 ... keggR:R00022 ... metacyc.reaction:RXN-12625 ... metacycR:RXN-12625 ... rhea:30671 ... rhea:30672 ... rhea:30673 ... rhea:30674 ... rheaR:30671 ... rheaR:30672 ... rheaR:30673 ... rheaR:30674 ... seed.reaction:rxn00016 ... seed.reaction:rxn23055 ... seedR:rxn00016 ... seedR:rxn23055,2 MNXM1105935@MNXD1 = 1 MNXM1106005@MNXD1 + 1 WATER@MNXD1,,rheaR:30671,bigg.reaction,R_,r0013 ,, bigg,reaction,,r0013 ... biggR,R_r0013 ... biggR,r0013 ... deprecated,MNXR152919 ... deprecated,MNXR190173 ... kegg.reaction,R00022 ... keggR,R00022 ... metacyc.reaction,RXN-12625 ... metacycR,RXN-12625 ... rhea,30671 ... rhea,R_HYDAm ... deprecated,MNXR56779 ... deprecated,MNXR70976 ... deprecated,MNXR83133 ... deprecated,MNXR84728 ... kegg.reaction,R00019 ... keggR,R00019 ... metacyc.reaction,HYDROG-RXN ... metacycR,HYDROG-RXN ... seed.reaction,rxn05759 ... seed.reaction,rxn34234 ... seed.reaction,rxn35454 ... seedR,rxn05759 ... seedR,rxn34234 ... seedR,rxn35454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00022,MNXR190172,rheaR:30671,bigg.reaction:R_r0013 ... bigg.reaction:r0013 ... biggR:R_r0013 ... biggR:r0013 ... deprecated:MNXR152919 ... deprecated:MNXR190173 ... kegg.reaction:R00022 ... keggR:R00022 ... metacyc.reaction:RXN-12625 ... metacycR:RXN-12625 ... rhea:30671 ... rhea:30672 ... rhea:30673 ... rhea:30674 ... rheaR:30671 ... rheaR:30672 ... rheaR:30673 ... rheaR:30674 ... seed.reaction:rxn00016 ... seed.reaction:rxn23055 ... seedR:rxn00016 ... seedR:rxn23055,2 MNXM1105935@MNXD1 = 1 MNXM1106005@MNXD1 + 1 WATER@MNXD1,,rheaR:30671,bigg.reaction,R_,r0013 ,, bigg,reaction,,r0013 ... biggR,R_r0013 ... biggR,r0013 ... deprecated,MNXR152919 ... deprecated,MNXR190173 ... kegg.reaction,R00022 ... keggR,R00022 ... metacyc.reaction,RXN-12625 ... metacycR,RXN-12625 ... rhea,30671 ... rhea,GLUSfx ... biggR,R_GLMS_syn ... biggR,R_GLTS_h ... biggR,R_GLUS_ferr ... biggR,R_GLUSfx ... deprecated,MNXR35431 ... deprecated,MNXR70858 ... deprecated,MNXR83018 ... deprecated,MNXR83032 ... kegg.reaction,R00021 ... keggR,R00021 ... metacyc.reaction,GLUTAMATE-SYNTHASE-FERREDOXIN-RXN ... metacycR,GLUTAMATE-SYNTHASE-FERREDOXIN-RXN ... seed.reaction,rxn12822 ... seed.reaction,rxn31206 ... seed.reaction,rxn33968 ... seedR,rxn12822 ... seedR,rxn31206 ... seedR,rxn33968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R02037,MNXR189048,rheaR:20365,bigg.reaction:R_r0480 ... bigg.reaction:r0480 ... biggR:R_r0480 ... biggR:r0480 ... deprecated:MNXR105345 ... deprecated:MNXR189049 ... kegg.reaction:R02037 ... keggR:R02037 ... metacyc.reaction:2.1.1.103-RXN ... metacycR:2.1.1.103-RXN ... rhea:20365 ... rhea:20366 ... rhea:20367 ... rhea:20368 ... rheaR:20365 ... rheaR:20366 ... rheaR:20367 ... rheaR:20368 ... sabiork.reaction:2059 ... sabiorkR:2059 ... seed.reaction:rxn01478 ... seed.reaction:rxn32327 ... seedR:rxn01478 ... seedR:rxn32327,1 MNXM1102072@MNXD1 + 1 MNXM187@MNXD1 = 1 MNXM1102167@MNXD1 + 1 MNXM1491@MNXD1 + 1 MNXM1@MNXD1,,rheaR:20365,bigg.reaction,R_,r0480 ,, bigg,reaction,,r0480 ... biggR,R_r0480 ... biggR,r0480 ... deprecated,MNXR105345 ... deprecated,MNXR189049 ... kegg.reaction,R02037 ... keggR,R02037 ... metacyc.reaction,2.1.1.103-RXN ... metacycR,2.1.1.103-RXN ... rhea,20365 ... rhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R06868,MNXR189062,rheaR:25321,bigg.reaction:R_r0788 ... bigg.reaction:r0788 ... biggR:R_r0788 ... biggR:r0788 ... deprecated:MNXR105385 ... deprecated:MNXR189063 ... kegg.reaction:R06868 ... keggR:R06868 ... metacyc.reaction:RXN-5642 ... metacycR:RXN-5642 ... rhea:25321 ... rhea:25322 ... rhea:25323 ... rhea:25324 ... rheaR:25321 ... rheaR:25322 ... rheaR:25323 ... rheaR:25324 ... seed.reaction:rxn04681 ... seed.reaction:rxn32490 ... seedR:rxn04681 ... seedR:rxn32490,1 MNXM1102072@MNXD1 + 1 MNXM1491@MNXD1 = 1 MNXM1102167@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM2261@MNXD1,,rheaR:25321,bigg.reaction,R_,r0788 ,, bigg,reaction,,r0788 ... biggR,R_r0788 ... biggR,r0788 ... deprecated,MNXR105385 ... deprecated,MNXR189063 ... kegg.reaction,R06868 ... keggR,R06868 ... metacyc.reaction,RXN-5642 ... metacycR,RXN-5642 ... rhea,25321 ... rhea,FMNAT ... biggR,FMNAT_1 ... biggR,FMNAT_h ... biggR,FMNATm ... biggR,R_AFAT ... biggR,R_FMNAT ... biggR,R_FMNAT_1 ... biggR,R_FMNAT_h ... biggR,R_FMNATm ... deprecated,MNXR190169 ... deprecated,MNXR190170 ... deprecated,MNXR190171 ... kegg.reaction,R00161 ... keggR,R00161 ... sabiork.reaction,390 ... sabiorkR,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R06869,MNXR189064,rheaR:25325,bigg.reaction:R_r0789 ... bigg.reaction:r0789 ... biggR:R_r0789 ... biggR:r0789 ... deprecated:MNXR105386 ... deprecated:MNXR189065 ... kegg.reaction:R06869 ... keggR:R06869 ... metacyc.reaction:RXN-5643 ... metacycR:RXN-5643 ... rhea:25325 ... rhea:25326 ... rhea:25327 ... rhea:25328 ... rheaR:25325 ... rheaR:25326 ... rheaR:25327 ... rheaR:25328 ... sabiork.reaction:6444 ... sabiorkR:6444 ... seed.reaction:rxn04682 ... seed.reaction:rxn31984 ... seedR:rxn04682 ... seedR:rxn31984,1 MNXM1102072@MNXD1 + 1 MNXM2261@MNXD1 = 1 MNXM1102167@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM229@MNXD1,,rheaR:25325,bigg.reaction,R_,r0789 ,, bigg,reaction,,r0789 ... biggR,R_r0789 ... biggR,r0789 ... deprecated,MNXR105386 ... deprecated,MNXR189065 ... kegg.reaction,R06869 ... keggR,R06869 ... metacyc.reaction,RXN-5643 ... metacycR,RXN-5643 ... rhea,25325 ... rhea,ICDHyr ... biggR,R_ICDHhr ... biggR,R_ICDHym ... biggR,R_ICDHyp ... biggR,R_ICDHyr ... deprecated,MNXR100781 ... deprecated,MNXR115983 ... kegg.reaction,R00267 ... keggR,R00267 ... sabiork.reaction,269 ... sabiorkR,269 ... seed.reaction,rxn00198 ... seed.reaction,rxn30399 ... seed.reaction,rxn30400 ... seed.reaction,rxn33806 ... seedR,rxn00198 ... seedR,rxn30399 ... seedR,rxn30400 ... seedR,rxn33806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R02315,MNXR146359,rheaR:10020,bigg.reaction:R_SACCD1 ... bigg.reaction:R_SACCD4m ... bigg.reaction:SACCD1 ... bigg.reaction:SACCD4m ... biggR:R_SACCD1 ... biggR:R_SACCD4m ... biggR:SACCD1 ... biggR:SACCD4m ... deprecated:MNXR104236 ... kegg.reaction:R02315 ... keggR:R02315 ... metacyc.reaction:RXN3O-127 ... metacycR:RXN3O-127 ... rhea:10020 ... rhea:10021 ... rhea:10022 ... rhea:10023 ... rheaR:10020 ... rheaR:10021 ... rheaR:10022 ... rheaR:10023 ... seed.reaction:rxn39333 ... seedR:rxn39333,1 MNXM1108542@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM738702@MNXD1 + 1 MNXM741173@MNXD1 = 1 MNXM5@MNXD1 + 1 MNXM735171@MNXD1 + 1 WATER@MNXD1,,rheaR:10020,bigg.reaction,R_,SACCD1 ,, bigg,reaction,,R_*SACCD4m ... bigg.reaction,SACCD1 ... bigg.reaction,SACCD4m ... biggR,R_SACCD1 ... biggR,R_SACCD4m ... biggR,SACCD1 ... biggR,SACCD4m ... deprecated,MNXR104236 ... kegg.reaction,R02315 ... keggR,R02315 ... metacyc.reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00715,MNXR188816,rheaR:12440,bigg.reaction:R_SACCD2 ... bigg.reaction:SACCD2 ... biggR:R_SACCD2 ... biggR:SACCD2 ... deprecated:MNXR104237 ... deprecated:MNXR188817 ... kegg.reaction:R00715 ... keggR:R00715 ... metacyc.reaction:1.5.1.7-RXN ... metacycR:1.5.1.7-RXN ... rhea:12440 ... rhea:12441 ... rhea:12442 ... rhea:12443 ... rheaR:12440 ... rheaR:12441 ... rheaR:12442 ... rheaR:12443 ... sabiork.reaction:1087 ... sabiorkR:1087 ... seed.reaction:rxn00510 ... seedR:rxn00510,1 MNXM10@MNXD1 + 1 MNXM1106164@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM20@MNXD1 = 1 MNXM735171@MNXD1 + 1 MNXM8@MNXD1 + 1 WATER@MNXD1,,rheaR:12440,bigg.reaction,R_,SACCD2 ,, bigg,reaction,,SACCD2 ... biggR,R_SACCD2 ... biggR,SACCD2 ... deprecated,MNXR104237 ... deprecated,MNXR188817 ... kegg.reaction,R00715 ... keggR,R00715 ... metacyc.reaction,1.5.1.7-RXN ... metacycR,1.5.1.7-RXN ... rhea,12440 ... rhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00716,MNXR188818,rheaR:19373,bigg.reaction:R_SACCD3m ... bigg.reaction:R_SACCD_c ... bigg.reaction:SACCD3m ... bigg.reaction:SACCD_c ... biggR:R_SACCD3m ... biggR:R_SACCD_c ... biggR:SACCD3m ... biggR:SACCD_c ... deprecated:MNXR104238 ... deprecated:MNXR188819 ... kegg.reaction:R00716 ... keggR:R00716 ... metacyc.reaction:1.5.1.8-RXN ... metacycR:1.5.1.8-RXN ... rhea:19373 ... rhea:19374 ... rhea:19375 ... rhea:19376 ... rheaR:19373 ... rheaR:19374 ... rheaR:19375 ... rheaR:19376 ... sabiork.reaction:1088 ... sabiorkR:1088 ... seed.reaction:rxn00511 ... seed.reaction:rxn17246 ... seed.reaction:rxn37893 ... seedR:rxn00511 ... seedR:rxn17246 ... seedR:rxn37893,1 MNXM1106164@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM20@MNXD1 + 1 MNXM738702@MNXD1 = 1 MNXM5@MNXD1 + 1 MNXM735171@MNXD1 + 1 WATER@MNXD1,,rheaR:19373,bigg.reaction,R_,SACCD3m ,, bigg,reaction,,R_*SACCD_c ... bigg.reaction,SACCD3m ... bigg.reaction,SACCD_c ... biggR,R_SACCD3m ... biggR,R_SACCD_c ... biggR,SACCD3m ... biggR,SACCD_c ... deprecated,MNXR104238 ... deprecated,MNXR188819 ... kegg.reaction,R00716 ... keggR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00529,MNXR188820,rheaR:18133,bigg.reaction:R_SADT ... bigg.reaction:R_SADTn ... bigg.reaction:R_SUAT_h ... bigg.reaction:SADT ... bigg.reaction:SADTn ... bigg.reaction:SUAT_h ... biggR:R_SADT ... biggR:R_SADTn ... biggR:R_SUAT_h ... biggR:SADT ... biggR:SADTn ... biggR:SUAT_h ... deprecated:MNXR104240 ... deprecated:MNXR188821 ... kegg.reaction:R00529 ... keggR:R00529 ... metacyc.reaction:SULFATE-ADENYLYLTRANS-RXN ... metacycR:SULFATE-ADENYLYLTRANS-RXN ... rhea:18133 ... rhea:18134 ... rhea:18135 ... rhea:18136 ... rheaR:18133 ... rheaR:18134 ... rheaR:18135 ... rheaR:18136 ... sabiork.reaction:947 ... sabiorkR:947 ... seed.reaction:rxn00379 ... seed.reaction:rxn27259 ... seed.reaction:rxn33490 ... seedR:rxn00379 ... seedR:rxn27259 ... seedR:rxn33490,1 MNXM1103086@MNXD1 + 1 MNXM11@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM58@MNXD1,,rheaR:18133,bigg.reaction,R_,SADT ,, bigg,reaction,,R_*SADTn ... bigg.reaction,R_*SUAT_h ... bigg.reaction,SADT ... bigg.reaction,SADTn ... bigg.reaction,SUAT_h ... biggR,R_SADT ... biggR,R_SADTn ... biggR,R_SUAT_h ... biggR,SADT ... biggR,SADTn ... biggR,R_ICL_x ... deprecated,MNXR100789 ... deprecated,MNXR115982 ... kegg.reaction,R00479 ... keggR,R00479 ... sabiork.reaction,911 ... sabiorkR,911 ... seed.reaction,rxn00336 ... seed.reaction,rxn33532 ... seed.reaction,rxn33534 ... seed.reaction,rxn33880 ... seedR,rxn00336 ... seedR,rxn33532 ... seedR,rxn33534 ... seedR,rxn33880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00220,MNXR146410,rheaR:19169,bigg.reaction:R_SAL_m ... bigg.reaction:R_SERD_L ... bigg.reaction:R_SER_AL ... bigg.reaction:R_THRAL ... bigg.reaction:SAL_m ... bigg.reaction:SERD_L ... bigg.reaction:SER_AL ... bigg.reaction:THRAL ... biggR:R_SAL_m ... biggR:R_SERD_L ... biggR:R_SER_AL ... biggR:R_THRAL ... biggR:SAL_m ... biggR:SERD_L ... biggR:SER_AL ... biggR:THRAL ... deprecated:MNXR104339 ... deprecated:MNXR146412 ... kegg.reaction:R00220 ... keggR:R00220 ... metacyc.reaction:4.3.1.17-RXN ... metacycR:4.3.1.17-RXN ... rhea:19169 ... rhea:19170 ... rhea:19171 ... rhea:19172 ... rheaR:19169 ... rheaR:19170 ... rheaR:19171 ... rheaR:19172 ... sabiork.reaction:745 ... sabiorkR:745 ... seed.reaction:rxn00165 ... seed.reaction:rxn30061 ... seed.reaction:rxn32961 ... seed.reaction:rxn35215 ... seedR:rxn00165 ... seedR:rxn30061 ... seedR:rxn32961 ... seedR:rxn35215,1 MNXM23@MNXD1 + 1 MNXM729302@MNXD1 = 1 MNXM737787@MNXD1,,rheaR:19169,bigg.reaction,R_,SAL_m ,, bigg,reaction,,R_*SERD_L ... bigg.reaction,R_*SER_AL ... bigg.reaction,R_*THRAL ... bigg.reaction,SAL_m ... bigg.reaction,SERD_L ... bigg.reaction,SER_AL ... bigg.reaction,THRAL ... biggR,R_SAL_m ... biggR,R_SERD_L ... biggR,R_SER_AL ... biggR,RBFKm ... biggR,R_RBFK ... biggR,R_RBFK_1 ... biggR,R_RBFK_h ... biggR,R_RBFKm ... deprecated,MNXR189838 ... deprecated,MNXR189839 ... kegg.reaction,R00549 ... keggR,R00549 ... sabiork.reaction,277 ... sabiorkR,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
